Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-11-15,2.3712,2.3712,2.3712,2.3712
2007-11-16,2.4229,2.4229,2.4229,2.4229
2007-11-19,2.4191,2.4191,2.4191,2.4191
2007-11-20,2.4865,2.4865,2.4865,2.4865
2007-11-21,2.483,2.483,2.483,2.483
2007-11-23,2.502,2.502,2.502,2.502
2007-11-26,2.4714,2.4714,2.4714,2.4714
2007-11-27,2.403,2.403,2.403,2.403
2007-11-28,2.2882,2.2882,2.2882,2.2882
2007-11-29,2.2732,2.2732,2.2732,2.2732
2007-11-30,2.2331,2.2331,2.2331,2.2331
2007-12-03,2.2331,2.2331,2.2331,2.2331
2007-12-04,2.2517,2.2517,2.2517,2.2517
2007-12-05,2.1995,2.1995,2.1995,2.1995
2007-12-06,2.2838,2.2838,2.2838,2.2838
2007-12-07,2.254,2.254,2.254,2.254
2007-12-10,2.2301,2.2301,2.2301,2.2301
2007-12-11,2.2729,2.2729,2.2729,2.2729
2007-12-12,2.3928,2.3928,2.3928,2.3928
2007-12-13,2.3531,2.3531,2.3531,2.3531
2007-12-14,2.3129,2.3129,2.3129,2.3129
2007-12-17,2.2966,2.2966,2.2966,2.2966
2007-12-18,2.2768,2.2768,2.2768,2.2768
2007-12-19,2.3069,2.3069,2.3069,2.3069
2007-12-20,2.3113,2.3113,2.3113,2.3113
2007-12-21,2.3657,2.3657,2.3657,2.3657
2007-12-24,2.3657,2.3657,2.3657,2.3657
2007-12-26,2.4526,2.4526,2.4526,2.4526
2007-12-27,2.4912,2.4912,2.4912,2.4912
2007-12-28,2.4529,2.4529,2.4529,2.4529
2007-12-31,2.4708,2.4708,2.4708,2.4708
2008-01-02,2.5489,2.5489,2.5489,2.5489
2008-01-03,2.4989,2.4989,2.4989,2.4989
2008-01-04,2.4964,2.4964,2.4964,2.4964
2008-01-07,2.3948,2.3948,2.3948,2.3948
2008-01-08,2.4364,2.4364,2.4364,2.4364
2008-01-09,2.3955,2.3955,2.3955,2.3955
2008-01-10,2.3176,2.3176,2.3176,2.3176
2008-01-11,2.2778,2.2778,2.2778,2.2778
