Date,y_hat,y
2019-06-14,1.7231900775536964,1.7302
2019-06-17,1.7284124212089726,1.6912
2019-06-18,1.6917469102797287,1.7197
2019-06-19,1.7201449426613253,1.7343
2019-06-20,1.7319917376563643,1.7879
2019-06-21,1.7841710556018038,1.8533
2019-06-24,1.848978689224419,1.8533
2019-06-25,1.8502860678232778,1.8778
2019-06-26,1.8759019178833247,1.9691
2019-06-27,1.9633106677136747,1.9445
2019-06-28,1.943059018944937,1.8946
2019-07-01,1.8988394569374405,1.9319
2019-07-02,1.9301213947668858,1.8686
2019-07-03,1.8705264127810104,1.9149
2019-07-05,1.9141294203615158,1.9272
2019-07-08,1.9256840240530648,1.9016
2019-07-09,1.9011300729610725,1.9273
2019-07-10,1.9254956980241429,2.0058
2019-07-11,2.001990305710814,1.9884
