Date,Open,High,Low,Close,Volume
2009-06-03,944.74,944.74,923.85,931.76,1098993792
2009-06-04,931.76,942.47,929.32,942.46,1160554496
2009-06-05,942.46,951.69,934.13,940.09,1062893056
2009-06-08,940.09,946.33,926.44,939.14,894281408
2009-06-09,939.14,946.92,936.15,942.43,885731520
2009-06-10,942.43,949.77,927.97,939.15,988046208
2009-06-11,939.15,956.23,939.04,944.89,1041652992
2009-06-12,944.89,946.3,935.66,946.21,762596928
2009-06-15,946.21,946.21,919.65,923.72,961608512
2009-06-16,923.72,928,911.6,911.97,991953984
2009-06-17,911.97,918.44,903.78,910.71,1108788096
2009-06-18,910.71,921.93,907.94,918.37,932162176
2009-06-19,918.37,927.09,915.8,921.23,2050869504
2009-06-22,921.23,921.23,893.04,893.04,1192534528
2009-06-23,893.04,898.69,888.86,895.1,1020877248
2009-06-24,895.1,910.85,895.1,900.94,930244032
2009-06-25,900.94,921.42,896.27,920.26,1048908352
2009-06-26,920.26,922,913.03,918.9,1404112768
2009-06-29,918.9,927.99,916.18,927.23,873795008
2009-06-30,927.23,930.01,912.86,919.32,1127680000
2009-07-01,919.32,931.92,919.32,923.33,819760256
2009-07-02,923.33,923.33,896.42,896.42,721685760
2009-07-06,896.42,898.72,886.36,898.72,971945472
2009-07-07,898.72,898.72,879.93,881.03,981686336
2009-07-08,881.03,886.8,869.32,879.56,1297142400
2009-07-09,879.56,887.86,878.45,882.68,891785472
2009-07-10,882.68,883.57,872.81,879.13,814182208
2009-07-13,879.13,901.05,875.32,901.05,1078615424
2009-07-14,901.05,905.84,896.5,905.84,889352448
2009-07-15,905.84,933.95,905.84,932.68,1265181056
2009-07-16,932.68,943.96,927.45,940.74,1065887552
2009-07-17,940.74,941.89,934.65,940.38,1216255744
2009-07-20,940.38,951.62,940.38,951.13,984108352
2009-07-21,951.13,956.53,943.22,954.58,1065340160
2009-07-22,954.58,959.83,947.75,954.07,1017160256
2009-07-23,954.07,979.42,953.27,976.29,1273058944
2009-07-24,976.29,979.78,965.95,979.26,926704896
2009-07-27,979.26,982.49,972.29,982.18,916416448
2009-07-28,982.18,982.35,969.35,979.62,1055545536
2009-07-29,979.62,979.62,968.65,975.15,1107077504
2009-07-30,975.15,996.68,975.15,986.75,1228369536
2009-07-31,986.75,993.18,983,987.48,1363897984
2009-08-03,987.48,1003.61,987.48,1002.63,1017483712
2009-08-04,1002.63,1007.12,996.68,1005.65,1050491776
2009-08-05,1005.65,1006.64,994.31,1002.72,1666493440
2009-08-06,1002.72,1008,992.49,997.08,1158162816
2009-08-07,997.08,1018,997.08,1010.48,1208749440
2009-08-10,1010.48,1010.48,1000.99,1007.1,879265728
2009-08-11,1007.1,1007.1,992.4,994.35,950136448
2009-08-12,994.35,1012.78,993.36,1005.81,1027151744
2009-08-13,1005.81,1013.14,1000.82,1012.73,742629824
2009-08-14,1012.73,1012.73,994.6,1004.09,941662208
2009-08-17,1004.09,1004.09,978.51,979.73,1030719936
2009-08-18,979.73,991.2,979.73,989.67,827893824
2009-08-19,989.67,999.61,980.62,996.46,868709632
2009-08-20,996.46,1008.92,996.39,1007.37,888090240
2009-08-21,1007.37,1027.59,1007.37,1026.13,1296371712
2009-08-24,1026.13,1035.82,1022.48,1025.57,960430080
2009-08-25,1025.57,1037.75,1025.57,1028,919421120
2009-08-26,1028,1032.47,1021.57,1028.12,829857664
2009-08-27,1028.12,1033.33,1016.2,1030.98,936103872
2009-08-28,1030.98,1038.25,1023.13,1028.93,1064371328
2009-08-31,1028.93,1028.93,1014.62,1020.62,1107376896
2009-09-01,1020.62,1028.45,996.28,998.04,1370384640
2009-09-02,998.04,1000.34,991.97,994.75,1069911680
2009-09-03,994.75,1003.43,992.25,1003.24,976310528
2009-09-04,1003.24,1016.48,1001.65,1016.4,816496192
2009-09-08,1016.4,1026.07,1016.4,1025.39,1076960768
2009-09-09,1025.39,1036.34,1023.97,1033.37,1036185856
2009-09-10,1033.37,1044.14,1028.04,1044.14,1307234176
2009-09-11,1044.14,1047.46,1038.4,1042.73,1048187136
2009-09-14,1042.73,1049.74,1035,1049.34,1047320384
2009-09-15,1049.34,1056.04,1043.42,1052.63,1284481920
2009-09-16,1052.63,1068.76,1052.63,1068.76,1340164224
2009-09-17,1068.76,1074.77,1061.2,1065.49,1245269248
2009-09-18,1065.49,1071.52,1064.27,1068.3,2057162880
2009-09-21,1068.3,1068.3,1057.46,1064.66,1016757440
2009-09-22,1064.66,1073.81,1064.66,1071.66,1062571840
2009-09-23,1071.66,1080.15,1060.39,1060.87,1112678144
2009-09-24,1060.87,1066.29,1045.85,1050.78,1085321088
2009-09-25,1050.78,1053.47,1041.17,1044.38,974107712
2009-09-28,1044.38,1065.13,1044.38,1062.98,808471040
2009-09-29,1062.98,1069.62,1057.83,1060.61,915146496
2009-09-30,1060.61,1063.4,1046.47,1057.08,1520972928
2009-10-01,1057.08,1057.08,1029.45,1029.85,1361008640
2009-10-02,1029.85,1030.6,1020.18,1025.21,1145122304
2009-10-05,1025.21,1042.58,1025.21,1040.46,929925376
2009-10-06,1040.46,1060.55,1040.46,1054.72,1048347840
2009-10-07,1054.72,1058.02,1050.1,1057.58,896505408
2009-10-08,1057.58,1070.67,1057.58,1065.48,1040628608
2009-10-09,1065.48,1071.5,1063.81,1071.49,825706496
2009-10-12,1071.49,1079.46,1071.49,1076.19,805360384
2009-10-13,1076.19,1076.19,1066.71,1073.19,981362368
2009-10-14,1073.19,1093.17,1073.19,1092.02,1165244544
2009-10-15,1092.02,1096.56,1086.41,1096.56,1160796800
2009-10-16,1096.56,1096.56,1081.53,1087.68,1246041344
2009-10-19,1087.68,1100.17,1086.48,1097.91,890517888
2009-10-20,1097.91,1098.64,1086.16,1091.06,1036192064
2009-10-21,1091.06,1101.36,1080.77,1081.4,1215441024
2009-10-22,1081.4,1095.21,1074.31,1092.91,1148050816
2009-10-23,1092.91,1095.83,1075.49,1079.6,1151942272
2009-10-26,1079.6,1091.75,1065.23,1066.95,1195149952
2009-10-27,1066.95,1072.48,1060.62,1063.41,1159575936
2009-10-28,1063.41,1063.41,1042.19,1042.63,1344831360
2009-10-29,1042.63,1066.83,1042.63,1066.11,1181393536
2009-10-30,1066.11,1066.11,1033.38,1036.19,1383629312
2009-11-02,1036.19,1052.18,1029.38,1042.88,1226084864
2009-11-03,1042.88,1046.36,1033.94,1045.41,1134974208
2009-11-04,1045.41,1061,1045.15,1046.5,1091557248
2009-11-05,1046.5,1066.65,1046.5,1066.63,1069961024
2009-11-06,1066.63,1071.48,1059.32,1069.3,899262016
2009-11-09,1069.3,1093.19,1069.3,1093.08,1041917056
2009-11-10,1093.08,1096.42,1087.4,1093.01,905151936
2009-11-11,1093.01,1105.37,1093.01,1098.51,857366720
2009-11-12,1098.51,1101.97,1084.9,1087.24,874005504
2009-11-13,1087.24,1097.79,1085.33,1093.48,811080128
2009-11-16,1093.48,1113.69,1093.48,1109.3,965167488
2009-11-17,1109.3,1110.52,1102.19,1110.32,791225472
2009-11-18,1110.32,1111.1,1102.7,1109.8,878338560
2009-11-19,1109.8,1109.8,1088.4,1094.9,972009664
2009-11-20,1094.9,1094.9,1086.81,1091.38,1051238784
2009-11-23,1091.38,1112.38,1091.38,1106.24,823798080
2009-11-24,1106.24,1107.56,1097.63,1105.65,800739200
2009-11-25,1105.65,1111.18,1104.75,1110.63,633587392
2009-11-27,1110.63,1110.63,1083.74,1091.49,551374336
2009-11-30,1091.49,1097.24,1086.25,1095.63,1076094720
2009-12-01,1095.63,1112.28,1095.63,1108.86,927036416
2009-12-02,1108.86,1115.58,1105.29,1109.24,826537024
2009-12-03,1109.24,1117.28,1098.74,1099.92,976139712
2009-12-04,1099.92,1119.13,1096.52,1105.98,1325908224
2009-12-07,1105.98,1110.72,1100.83,1103.25,889717184
2009-12-08,1103.25,1103.25,1088.61,1091.94,985602112
2009-12-09,1091.94,1097.04,1085.89,1095.95,898580800
2009-12-10,1095.95,1106.25,1095.95,1102.35,893742400
2009-12-11,1102.35,1108.5,1101.34,1106.41,806318080
2009-12-14,1106.41,1114.76,1106.41,1114.11,898038784
2009-12-15,1114.11,1114.11,1105.35,1107.93,997205120
2009-12-16,1107.93,1116.21,1107.93,1109.18,1023289216
2009-12-17,1109.18,1109.18,1095.88,1096.08,1542768896
2009-12-18,1096.08,1103.74,1093.88,1102.47,2757951744
2009-12-21,1102.47,1117.68,1102.47,1114.05,834341824
2009-12-22,1114.05,1120.27,1114.05,1118.02,734673984
2009-12-23,1118.02,1121.58,1116,1120.59,615392576
2009-12-24,1120.59,1126.48,1120.59,1126.48,258240640
2009-12-28,1126.48,1130.38,1123.51,1127.78,553262464
2009-12-29,1127.78,1130.38,1126.08,1126.19,478922784
2009-12-30,1126.19,1126.42,1121.94,1126.42,499590464
2009-12-31,1126.42,1127.64,1114.81,1115.1,546341696
2010-01-04,1115.1,1133.87,1115.1,1132.99,820108992
2010-01-05,1132.99,1136.63,1129.66,1136.52,974375232
2010-01-06,1136.52,1139.19,1133.95,1137.14,915084736
2010-01-07,1137.14,1142.46,1131.32,1141.69,1046511744
2010-01-08,1141.69,1145.39,1136.22,1144.98,860963264
2010-01-11,1144.98,1149.74,1142.02,1146.98,800273472
2010-01-12,1146.98,1146.98,1131.77,1136.22,955688256
2010-01-13,1136.22,1148.4,1133.18,1145.68,843186112
2010-01-14,1145.68,1150.41,1143.8,1148.46,825560128
2010-01-15,1148.46,1148.46,1131.39,1136.03,1365481216
2010-01-19,1136.03,1150.45,1135.77,1150.23,903210112
2010-01-20,1150.23,1150.23,1129.25,1138.04,941122432
2010-01-21,1138.04,1141.58,1114.84,1116.48,1367003136
2010-01-22,1116.48,1116.48,1090.18,1091.76,1356872832
2010-01-25,1091.76,1102.97,1091.76,1096.78,954206208
2010-01-26,1096.78,1103.69,1089.86,1092.17,1046536512
2010-01-27,1092.17,1099.51,1083.11,1097.5,1183551232
2010-01-28,1097.5,1100.22,1078.46,1084.53,1118508544
2010-01-29,1084.53,1096.45,1071.59,1073.87,1494250752
2010-02-01,1073.89,1089.38,1073.89,1089.18,922487360
2010-02-02,1090.05,1104.73,1087.96,1103.32,1048806784
2010-02-03,1100.67,1102.72,1093.97,1097.28,970123264
2010-02-04,1097.25,1097.25,1062.78,1063.11,1331105280
2010-02-05,1064.12,1067.13,1044.5,1066.19,1366681472
2010-02-08,1065.51,1071.2,1056.51,1056.74,979447936
2010-02-09,1060.06,1079.28,1060.06,1070.52,1066579456
2010-02-10,1069.68,1073.67,1059.34,1068.13,886733120
2010-02-11,1067.1,1080.04,1060.59,1078.47,929185600
2010-02-12,1075.95,1077.81,1062.97,1075.51,1172075392
2010-02-16,1079.13,1095.67,1079.13,1094.87,945078976
2010-02-17,1096.14,1101.03,1094.72,1099.51,892509376
2010-02-18,1099.03,1108.24,1097.48,1106.75,827809664
2010-02-19,1105.49,1112.42,1100.8,1109.17,1055793536
2010-02-22,1110,1112.29,1105.38,1108.01,820428544
2010-02-23,1107.49,1108.58,1092.18,1094.6,907065984
2010-02-24,1095.89,1106.42,1095.5,1105.24,866782272
2010-02-25,1101.24,1103.5,1086.02,1102.94,979527296
2010-02-26,1103.1,1107.24,1097.56,1104.49,1035516096
2010-03-01,1105.36,1116.11,1105.36,1115.71,821090880
2010-03-02,1117.01,1123.46,1116.51,1118.31,931768832
2010-03-03,1119.36,1125.64,1116.58,1118.79,828612544
2010-03-04,1119.12,1123.73,1116.66,1122.97,814555200
2010-03-05,1125.12,1139.38,1125.12,1138.7,865943232
2010-03-08,1138.4,1141.05,1136.77,1138.5,765070080
2010-03-09,1137.56,1145.37,1134.9,1140.45,1000082496
2010-03-10,1140.22,1148.26,1140.09,1145.61,1004799488
2010-03-11,1143.96,1150.24,1138.99,1150.24,850319424
2010-03-12,1151.71,1153.41,1146.97,1149.99,900511936
2010-03-15,1148.53,1150.98,1141.45,1150.51,813519680
2010-03-16,1150.83,1160.28,1150.35,1159.46,903205120
2010-03-17,1159.94,1169.84,1159.94,1166.21,861797248
2010-03-18,1166.13,1167.77,1161.16,1165.83,792290752
2010-03-19,1166.68,1169.2,1155.33,1159.9,1764780800
2010-03-22,1157.25,1167.82,1152.88,1165.81,819353472
2010-03-23,1166.47,1174.72,1163.83,1174.17,843585472
2010-03-24,1172.7,1173.04,1166.01,1167.72,862029056
2010-03-25,1170.03,1180.69,1165.09,1165.73,1020623040
2010-03-26,1167.58,1173.93,1161.48,1166.59,853286784
2010-03-29,1167.71,1174.85,1167.71,1173.22,770995840
2010-03-30,1173.75,1177.83,1168.92,1173.27,757456512
2010-03-31,1171.75,1174.56,1165.77,1169.43,947150272
2010-04-01,1171.23,1181.43,1170.69,1178.1,777594624
2010-04-05,1178.71,1187.73,1178.71,1187.44,705326528
2010-04-06,1186.01,1191.8,1182.77,1189.44,760234944
2010-04-07,1188.23,1189.6,1177.25,1182.45,943521792
2010-04-08,1181.75,1188.55,1175.12,1186.44,863850816
2010-04-09,1187.47,1194.66,1187.15,1194.37,758271680
2010-04-12,1194.94,1199.2,1194.71,1196.48,724047296
2010-04-13,1195.94,1199.04,1188.82,1197.3,827957952
2010-04-14,1198.69,1210.65,1198.69,1210.65,1010109568
2010-04-15,1210.77,1213.92,1208.5,1211.67,998583488
2010-04-16,1210.17,1210.17,1186.77,1192.13,1584382464
2010-04-19,1192.06,1197.87,1183.68,1197.52,1056204352
2010-04-20,1199.04,1208.58,1199.04,1207.17,947710016
2010-04-21,1207.16,1210.99,1198.85,1205.94,1069312256
2010-04-22,1202.52,1210.27,1190.19,1208.67,1149546368
2010-04-23,1207.87,1217.28,1205.1,1217.28,1051774080
2010-04-26,1217.07,1219.8,1211.07,1212.05,1015966784
2010-04-27,1209.92,1211.38,1181.62,1183.71,1365506048
2010-04-28,1184.59,1195.05,1181.81,1191.36,1235364096
2010-04-29,1193.3,1209.36,1193.3,1206.78,1113585536
2010-04-30,1206.77,1207.99,1186.32,1186.69,1283832832
2010-05-03,1188.58,1205.13,1188.58,1202.26,901823744
2010-05-04,1197.5,1197.5,1168.12,1173.6,1227093632
2010-05-05,1169.24,1175.95,1158.15,1165.87,1192907520
2010-05-06,1164.38,1167.58,1065.79,1128.15,2121757952
2010-05-07,1127.04,1135.13,1094.15,1110.88,2011124992
2010-05-10,1122.27,1163.85,1122.27,1159.73,1542940544
2010-05-11,1156.39,1170.48,1147.71,1155.79,1178096512
2010-05-12,1155.43,1172.87,1155.43,1171.67,1032095168
2010-05-13,1170.04,1173.57,1156.14,1157.44,970708928
2010-05-14,1157.19,1157.19,1126.14,1135.68,1252698880
2010-05-17,1136.52,1141.88,1114.96,1136.94,1138507392
2010-05-18,1138.78,1148.66,1117.2,1120.8,1248839168
2010-05-19,1119.57,1124.27,1100.66,1115.05,1307785728
2010-05-20,1107.34,1107.34,1071.58,1071.59,1700038656
2010-05-21,1067.26,1090.16,1055.9,1087.69,1998103168
2010-05-24,1084.78,1089.95,1072.7,1073.65,1056900608
2010-05-25,1067.42,1074.75,1040.78,1074.03,1489602944
2010-05-26,1075.51,1090.75,1065.59,1067.95,1522093824
2010-05-27,1074.27,1103.52,1074.27,1103.06,1139414784
2010-05-28,1102.59,1102.59,1084.78,1089.41,1180660352
2010-06-01,1087.3,1094.77,1069.89,1070.71,1122912128
2010-06-02,1073.01,1098.56,1072.03,1098.38,1049813056
2010-06-03,1098.82,1105.67,1091.81,1102.83,965311808
2010-06-04,1098.43,1098.43,1060.5,1064.88,1337385472
2010-06-07,1065.84,1071.36,1049.86,1050.47,1171711360
2010-06-08,1050.81,1063.15,1042.17,1062,1336642048
2010-06-09,1062.75,1077.74,1052.25,1055.69,1375597696
2010-06-10,1058.77,1087.85,1058.77,1086.84,1082709504
2010-06-11,1082.65,1092.25,1077.12,1091.6,848363200
2010-06-14,1095,1105.91,1089.03,1089.63,863911104
2010-06-15,1091.21,1115.59,1091.21,1115.23,948519872
2010-06-16,1114.02,1118.74,1107.13,1114.61,830979136
2010-06-17,1115.98,1117.72,1105.87,1116.04,893789632
2010-06-18,1116.16,1121.01,1113.93,1117.51,1450820224
2010-06-21,1122.79,1131.23,1108.24,1113.2,831314176
2010-06-22,1113.9,1118.5,1094.18,1095.31,877752832
2010-06-23,1095.57,1099.64,1085.31,1092.04,918203712
2010-06-24,1090.93,1090.93,1071.6,1073.69,1074865920
2010-06-25,1075.1,1083.56,1067.89,1076.76,1770956544
2010-06-28,1077.5,1082.6,1071.45,1074.57,784804608
2010-06-29,1071.1,1071.1,1035.18,1041.24,1344279040
2010-06-30,1040.56,1048.08,1028.33,1030.71,1161099392
2010-07-01,1031.1,1033.58,1010.91,1027.37,1311592320
2010-07-02,1027.65,1032.95,1015.93,1022.58,904615936
2010-07-06,1028.09,1042.5,1018.35,1028.06,1036616256
2010-07-07,1028.54,1060.89,1028.54,1060.27,1062572672
2010-07-08,1062.92,1071.25,1058.24,1070.25,952025728
2010-07-09,1070.5,1078.16,1068.1,1077.96,722405056
2010-07-12,1077.23,1080.78,1070.45,1078.75,691541696
2010-07-13,1080.65,1099.46,1080.65,1095.34,944480640
2010-07-14,1095.61,1099.08,1087.68,1095.17,922577984
2010-07-15,1094.46,1098.66,1080.53,1096.48,962433088
2010-07-16,1093.85,1093.85,1063.32,1064.88,1352714624
2010-07-19,1066.85,1074.7,1061.11,1071.25,804324928
2010-07-20,1064.53,1083.94,1056.88,1083.48,948959232
2010-07-21,1086.67,1088.96,1065.25,1069.59,1045976000
2010-07-22,1072.14,1097.5,1072.14,1093.67,993583296
2010-07-23,1092.17,1103.73,1087.88,1102.66,972933696
2010-07-26,1102.89,1115.01,1101.3,1115.01,833580736
2010-07-27,1117.36,1120.95,1109.78,1113.84,896380800
2010-07-28,1112.84,1114.66,1103.11,1106.13,838303232
2010-07-29,1108.07,1115.9,1092.82,1101.53,1044059200
2010-07-30,1098.44,1106.44,1088.01,1101.6,997627840
2010-08-02,1107.53,1127.3,1107.53,1125.86,842757696
2010-08-03,1125.34,1125.44,1116.76,1120.46,799582656
2010-08-04,1121.06,1128.75,1119.46,1127.24,795805312
2010-08-05,1125.78,1126.56,1118.81,1125.81,689299264
2010-08-06,1122.07,1123.06,1107.17,1121.64,777253312
2010-08-09,1122.8,1129.24,1120.91,1127.79,650249536
2010-08-10,1122.92,1127.16,1111.58,1121.06,854204352
2010-08-11,1116.89,1116.89,1088.55,1089.47,975803712
2010-08-12,1081.48,1086.72,1076.69,1083.61,890937344
2010-08-13,1082.22,1086.25,1079,1079.25,712572992
2010-08-16,1077.49,1082.62,1069.49,1079.38,657087232
2010-08-17,1081.16,1100.14,1081.16,1092.54,819794048
2010-08-18,1092.08,1099.77,1085.76,1094.16,779860992
2010-08-19,1092.44,1092.44,1070.66,1075.63,975999616
2010-08-20,1075.63,1075.63,1063.91,1071.69,1062703872
2010-08-23,1073.36,1081.58,1067.08,1067.36,735556096
2010-08-24,1063.2,1063.2,1046.68,1051.87,1005581824
2010-08-25,1048.98,1059.38,1039.83,1055.33,918770112
2010-08-26,1056.28,1061.45,1045.4,1047.22,842888320
2010-08-27,1049.27,1065.21,1039.7,1064.59,934661440
2010-08-30,1062.9,1064.4,1048.79,1048.92,696800192
2010-08-31,1046.88,1055.14,1040.88,1049.33,1235297792
2010-09-01,1049.72,1081.3,1049.72,1080.29,981506176
2010-09-02,1080.66,1090.1,1080.39,1090.1,743370368
2010-09-03,1093.61,1105.1,1093.61,1104.51,759372544
2010-09-07,1102.6,1102.6,1091.15,1091.84,709770112
2010-09-08,1092.36,1103.26,1092.36,1098.87,768571584
2010-09-09,1101.15,1110.27,1101.15,1104.18,713597312
2010-09-10,1104.57,1110.88,1103.92,1109.55,648183424
2010-09-13,1113.38,1123.87,1113.38,1121.9,807454656
2010-09-14,1121.16,1127.36,1115.58,1121.1,798550848
2010-09-15,1119.43,1126.46,1114.63,1125.07,784790144
2010-09-16,1123.89,1125.44,1118.88,1124.66,797718976
2010-09-17,1126.39,1131.47,1122.43,1125.59,1706235136
2010-09-20,1126.57,1144.86,1126.57,1142.71,765703488
2010-09-21,1142.82,1148.59,1136.22,1139.78,889507456
2010-09-22,1139.49,1144.38,1131.58,1134.28,838945280
2010-09-23,1131.1,1136.77,1122.79,1124.83,760129408
2010-09-24,1131.69,1148.9,1131.69,1148.67,856638208
2010-09-27,1148.64,1149.92,1142,1142.16,707651200
2010-09-28,1142.31,1150,1132.09,1147.7,839703104
2010-09-29,1146.75,1148.63,1140.26,1144.73,797479808
2010-09-30,1145.97,1157.16,1136.08,1141.2,1027426560
2010-10-01,1143.49,1150.3,1139.42,1146.24,845805376
2010-10-04,1144.96,1148.16,1131.87,1137.03,767359616
2010-10-05,1140.68,1162.76,1140.68,1160.75,1011787968
2010-10-06,1159.81,1162.33,1154.85,1159.97,809501888
2010-10-07,1161.57,1163.87,1151.41,1158.06,740281408
2010-10-08,1158.36,1167.73,1155.58,1165.15,767262400
2010-10-11,1165.32,1168.68,1162.02,1165.32,645487680
2010-10-12,1164.28,1172.58,1155.71,1169.77,776865920
2010-10-13,1171.32,1184.38,1171.32,1178.1,1082245632
2010-10-14,1177.82,1178.89,1166.71,1173.81,927196992
2010-10-15,1177.47,1181.2,1167.12,1176.19,1238111744
2010-10-18,1176.83,1185.53,1174.55,1184.71,849644544
2010-10-19,1178.64,1178.64,1159.71,1165.9,1043004544
2010-10-20,1166.74,1182.94,1166.74,1178.17,910842944
2010-10-21,1179.82,1189.43,1171.17,1180.26,834837952
2010-10-22,1180.52,1183.93,1178.99,1183.08,615748224
2010-10-25,1184.74,1196.14,1184.74,1185.62,829367424
2010-10-26,1184.88,1187.11,1177.72,1185.64,773191552
2010-10-27,1183.84,1183.84,1171.7,1182.45,823059520
2010-10-28,1184.47,1189.53,1177.1,1183.78,783945600
2010-10-29,1183.87,1185.46,1179.7,1183.26,863458880
2010-11-01,1185.71,1195.81,1177.65,1184.38,716029824
2010-11-02,1187.86,1195.88,1187.86,1193.57,697086016
